question_id,task,image,prompt
gear_train_0001_q1,Image Description,gear_train_0001.png,How many gears are shown in this gear train?
gear_train_0001_q2,Basic Relational Reasoning,gear_train_0001.png,"Gear B directly meshes with gear A (the driver). Does gear B rotate in the same direction as the driver, or the opposite direction?"
gear_train_0001_q3,Comparative Reasoning,gear_train_0001.png,Which gear in this train has the most teeth? Answer with the letter.
gear_train_0001_q4,Compound Reasoning,gear_train_0001.png,"Gear A (the driver) rotates at 120 RPM. What is the RPM of gear C, which is 2 meshes from the driver? Answer with a number rounded to 1 decimal place."
gear_train_0001_q5,Extrapolative/Counterfactual Reasoning,gear_train_0001.png,"If gear C's tooth count were doubled while the driver's RPM and direction stayed fixed, would gear C's rotation speed increase, decrease, or stay the same? Also state whether its rotation direction would change."
gear_train_0002_q1,Image Description,gear_train_0002.png,How many gears are shown in this gear train?
gear_train_0002_q2,Basic Relational Reasoning,gear_train_0002.png,"Gear B directly meshes with gear A (the driver). Does gear B rotate in the same direction as the driver, or the opposite direction?"
gear_train_0002_q3,Comparative Reasoning,gear_train_0002.png,Which gear rotates the fastest (has the highest RPM)? Answer with the letter.
gear_train_0002_q4,Compound Reasoning,gear_train_0002.png,"Gear A (the driver) rotates at 60 RPM. What is the RPM of gear C, which is 2 meshes from the driver? Answer with a number rounded to 1 decimal place."
gear_train_0002_q5,Extrapolative/Counterfactual Reasoning,gear_train_0002.png,"If gear B's tooth count were doubled while the driver's RPM and direction stayed fixed, would gear C's rotation speed increase, decrease, or stay the same? Also state whether its rotation direction would change."
gear_train_0003_q1,Image Description,gear_train_0003.png,How many gears are shown in this gear train?
gear_train_0003_q2,Basic Relational Reasoning,gear_train_0003.png,"Gear B directly meshes with gear A (the driver). Does gear B rotate in the same direction as the driver, or the opposite direction?"
gear_train_0003_q3,Comparative Reasoning,gear_train_0003.png,Which gear in this train has the most teeth? Answer with the letter.
gear_train_0003_q4,Compound Reasoning,gear_train_0003.png,"Gear A (the driver) rotates at 30 RPM. What is the RPM of gear C, which is 2 meshes from the driver? Answer with a number rounded to 1 decimal place."
gear_train_0003_q5,Extrapolative/Counterfactual Reasoning,gear_train_0003.png,"If gear A's tooth count were doubled while the driver's RPM and direction stayed fixed, would gear C's rotation speed increase, decrease, or stay the same? Also state whether its rotation direction would change."
gear_train_0004_q1,Image Description,gear_train_0004.png,How many gears are shown in this gear train?
gear_train_0004_q2,Basic Relational Reasoning,gear_train_0004.png,"Gear B directly meshes with gear A (the driver). Does gear B rotate in the same direction as the driver, or the opposite direction?"
