question_id,task,image,prompt,groundtruth
polyhedron_0001_q1,Image Description,polyhedron_0001.png,"How many faces does this solid have in total, including hidden faces?",4
polyhedron_0001_q2,Basic Relational Reasoning,polyhedron_0001.png,Is this solid convex or non-convex? Answer 'convex' or 'non-convex'.,convex
polyhedron_0001_q3,Comparative Reasoning,polyhedron_0001.png,How many faces of this solid face toward the camera from this viewing angle?,3
polyhedron_0001_q4,Compound Reasoning,polyhedron_0001.png,"Which family does this solid belong to: Platonic, Archimedean, Catalan, Compound, or Non-convex?",Platonic
polyhedron_0001_q5,Extrapolative/Counterfactual Reasoning,polyhedron_0001.png,"If one face were removed from this solid while all remaining faces stayed fixed, would the result still be a closed surface to which the closed-surface Euler formula directly applies? Answer yes or no.",no
polyhedron_0002_q1,Image Description,polyhedron_0002.png,"How many faces does this solid have in total, including hidden faces?",6
polyhedron_0002_q2,Basic Relational Reasoning,polyhedron_0002.png,Is this solid convex or non-convex? Answer 'convex' or 'non-convex'.,convex
polyhedron_0002_q3,Comparative Reasoning,polyhedron_0002.png,How many vertices (corner points) does this solid have?,8
polyhedron_0002_q4,Compound Reasoning,polyhedron_0002.png,"Which family does this solid belong to: Platonic, Archimedean, Catalan, Compound, or Non-convex?",Platonic
polyhedron_0002_q5,Extrapolative/Counterfactual Reasoning,polyhedron_0002.png,"If one face were removed from this solid while all remaining faces stayed fixed, would the result still be a closed surface to which the closed-surface Euler formula directly applies? Answer yes or no.",no
polyhedron_0003_q1,Image Description,polyhedron_0003.png,"How many faces does this solid have in total, including hidden faces?",8
polyhedron_0003_q2,Basic Relational Reasoning,polyhedron_0003.png,Is this solid convex or non-convex? Answer 'convex' or 'non-convex'.,convex
polyhedron_0003_q3,Comparative Reasoning,polyhedron_0003.png,How many vertices (corner points) does this solid have?,6
polyhedron_0003_q4,Compound Reasoning,polyhedron_0003.png,Is this solid composed of overlapping shapes forming a compound structure? Answer yes or no.,no
polyhedron_0003_q5,Extrapolative/Counterfactual Reasoning,polyhedron_0003.png,"If one face were removed from this solid while all remaining faces stayed fixed, would the result still be a closed surface to which the closed-surface Euler formula directly applies? Answer yes or no.",no
polyhedron_0004_q1,Image Description,polyhedron_0004.png,"How many faces does this solid have in total, including hidden faces?",12
polyhedron_0004_q2,Basic Relational Reasoning,polyhedron_0004.png,Is this solid convex or non-convex? Answer 'convex' or 'non-convex'.,convex
polyhedron_0004_q3,Comparative Reasoning,polyhedron_0004.png,"What shape are the faces of this solid — triangles, squares, pentagons, or a mix of shapes?",pentagons
polyhedron_0004_q4,Compound Reasoning,polyhedron_0004.png,"Using Euler's formula, if this solid has 20 vertices and 30 edges, how many faces must it have?",12
polyhedron_0004_q5,Extrapolative/Counterfactual Reasoning,polyhedron_0004.png,"If one face were removed from this solid while all remaining faces stayed fixed, would the result still be a closed surface to which the closed-surface Euler formula directly applies? Answer yes or no.",no
