task,image,prompt,groundtruth,metadata
Image Description,cube_net_0001.png,How many squares (faces) make up this cube net?,6,"{""dataset_version"":""cube-net-2.0.0"",""difficulty_score"":0.25,""net_layout_type"":""cross_tail"",""seed"":1,""square_size_px"":90,""stroke_width_px"":0.9}"
Basic Relational Reasoning,cube_net_0001.png,Name one face that shares a fold edge with face A.,E,"{""dataset_version"":""cube-net-2.0.0"",""difficulty_score"":0.25,""net_layout_type"":""cross_tail"",""seed"":1,""square_size_px"":90,""stroke_width_px"":0.9}"
Comparative Reasoning,cube_net_0001.png,How many faces share a fold edge with face A?,2,"{""dataset_version"":""cube-net-2.0.0"",""difficulty_score"":0.25,""net_layout_type"":""cross_tail"",""seed"":1,""square_size_px"":90,""stroke_width_px"":0.9}"
Compound Reasoning,cube_net_0001.png,"If this net is folded into a cube, are face B and face E adjacent or opposite? Answer 'adjacent' or 'opposite'.",adjacent,"{""dataset_version"":""cube-net-2.0.0"",""difficulty_score"":0.25,""net_layout_type"":""cross_tail"",""seed"":1,""square_size_px"":90,""stroke_width_px"":0.9}"
Extrapolative/Counterfactual Reasoning,cube_net_0001.png,"If the positions of faces D and E were swapped in this net, would face D still end up opposite the same face it currently is opposite to? Answer yes or no.",yes,"{""dataset_version"":""cube-net-2.0.0"",""difficulty_score"":0.25,""net_layout_type"":""cross_tail"",""seed"":1,""square_size_px"":90,""stroke_width_px"":0.9}"
Image Description,cube_net_0002.png,How many squares (faces) make up this cube net?,6,"{""dataset_version"":""cube-net-2.0.0"",""difficulty_score"":0.55,""net_layout_type"":""long_zigzag"",""seed"":2,""square_size_px"":70,""stroke_width_px"":0.82}"
Basic Relational Reasoning,cube_net_0002.png,Name one face that shares a fold edge with face E.,B,"{""dataset_version"":""cube-net-2.0.0"",""difficulty_score"":0.55,""net_layout_type"":""long_zigzag"",""seed"":2,""square_size_px"":70,""stroke_width_px"":0.82}"
Comparative Reasoning,cube_net_0002.png,How many faces share a fold edge with face D?,2,"{""dataset_version"":""cube-net-2.0.0"",""difficulty_score"":0.55,""net_layout_type"":""long_zigzag"",""seed"":2,""square_size_px"":70,""stroke_width_px"":0.82}"
Compound Reasoning,cube_net_0002.png,"If this net is folded into a cube, are face D and face F adjacent or opposite? Answer 'adjacent' or 'opposite'.",opposite,"{""dataset_version"":""cube-net-2.0.0"",""difficulty_score"":0.55,""net_layout_type"":""long_zigzag"",""seed"":2,""square_size_px"":70,""stroke_width_px"":0.82}"
Extrapolative/Counterfactual Reasoning,cube_net_0002.png,"If the positions of faces E and C were swapped in this net, would face E still end up opposite the same face it currently is opposite to? Answer yes or no.",no,"{""dataset_version"":""cube-net-2.0.0"",""difficulty_score"":0.55,""net_layout_type"":""long_zigzag"",""seed"":2,""square_size_px"":70,""stroke_width_px"":0.82}"
Image Description,cube_net_0003.png,How many squares (faces) make up this cube net?,6,"{""dataset_version"":""cube-net-2.0.0"",""difficulty_score"":0.35,""net_layout_type"":""t_left_cap"",""seed"":3,""square_size_px"":80,""stroke_width_px"":0.67}"
Basic Relational Reasoning,cube_net_0003.png,Name one face that shares a fold edge with face B.,D,"{""dataset_version"":""cube-net-2.0.0"",""difficulty_score"":0.35,""net_layout_type"":""t_left_cap"",""seed"":3,""square_size_px"":80,""stroke_width_px"":0.67}"
Comparative Reasoning,cube_net_0003.png,"If this net is folded into a cube, which face will be OPPOSITE face F?",A,"{""dataset_version"":""cube-net-2.0.0"",""difficulty_score"":0.35,""net_layout_type"":""t_left_cap"",""seed"":3,""square_size_px"":80,""stroke_width_px"":0.67}"
Compound Reasoning,cube_net_0003.png,"If this net is folded into a cube, are face C and face E adjacent or opposite? Answer 'adjacent' or 'opposite'.",adjacent,"{""dataset_version"":""cube-net-2.0.0"",""difficulty_score"":0.35,""net_layout_type"":""t_left_cap"",""seed"":3,""square_size_px"":80,""stroke_width_px"":0.67}"
Extrapolative/Counterfactual Reasoning,cube_net_0003.png,"If the positions of faces D and F were swapped in this net, would face D still end up opposite the same face it currently is opposite to? Answer yes or no.",no,"{""dataset_version"":""cube-net-2.0.0"",""difficulty_score"":0.35,""net_layout_type"":""t_left_cap"",""seed"":3,""square_size_px"":80,""stroke_width_px"":0.67}"
Image Description,cube_net_0004.png,How many squares (faces) make up this cube net?,6,"{""dataset_version"":""cube-net-2.0.0"",""difficulty_score"":0.65,""net_layout_type"":""t_middle_cap"",""seed"":4,""square_size_px"":65,""stroke_width_px"":0.73}"
