task,image,prompt,groundtruth,metadata
Image Description,orthographic_0001.png,How many unit cells are filled in the top view?,4,"{""correct_answer_choice"":null,""difficulty_score"":0.3833,""has_candidate_panel"":false,""is_uniquely_determined"":false,""is_uniquely_determined_same_count"":true,""minimum_possible_cube_count"":6,""seed"":1,""total_cube_count"":7,""uniqueness_scope"":""all gravity-supported structures consistent with the three silhouettes""}"
Basic Relational Reasoning,orthographic_0001.png,"Based on the three views shown, what is the minimum possible number of cubes in a gravity-supported 3D structure? Answer with a number in curly brackets.",6,"{""correct_answer_choice"":null,""difficulty_score"":0.3833,""has_candidate_panel"":false,""is_uniquely_determined"":false,""is_uniquely_determined_same_count"":true,""minimum_possible_cube_count"":6,""seed"":1,""total_cube_count"":7,""uniqueness_scope"":""all gravity-supported structures consistent with the three silhouettes""}"
Comparative Reasoning,orthographic_0001.png,"Which view (top, front, or side) shows the largest filled area (most filled cells)?",side,"{""correct_answer_choice"":null,""difficulty_score"":0.3833,""has_candidate_panel"":false,""is_uniquely_determined"":false,""is_uniquely_determined_same_count"":true,""minimum_possible_cube_count"":6,""seed"":1,""total_cube_count"":7,""uniqueness_scope"":""all gravity-supported structures consistent with the three silhouettes""}"
Compound Reasoning,orthographic_0001.png,Do the three orthographic views uniquely determine the shown voxel structure within the stated scope? Answer 'unique' or 'not unique'.,not unique,"{""correct_answer_choice"":null,""difficulty_score"":0.3833,""has_candidate_panel"":false,""is_uniquely_determined"":false,""is_uniquely_determined_same_count"":true,""minimum_possible_cube_count"":6,""seed"":1,""total_cube_count"":7,""uniqueness_scope"":""all gravity-supported structures consistent with the three silhouettes""}"
Extrapolative/Counterfactual Reasoning,orthographic_0001.png,"If one cube were added directly on top of a tallest column in the structure, which view or views would change? Answer using top, front, and/or side.",front and side,"{""correct_answer_choice"":null,""difficulty_score"":0.3833,""has_candidate_panel"":false,""is_uniquely_determined"":false,""is_uniquely_determined_same_count"":true,""minimum_possible_cube_count"":6,""seed"":1,""total_cube_count"":7,""uniqueness_scope"":""all gravity-supported structures consistent with the three silhouettes""}"
Image Description,orthographic_0002.png,How many unit cells are filled in the top view?,4,"{""correct_answer_choice"":""C"",""difficulty_score"":0.9167,""has_candidate_panel"":true,""is_uniquely_determined"":false,""is_uniquely_determined_same_count"":false,""minimum_possible_cube_count"":9,""seed"":2,""total_cube_count"":12,""uniqueness_scope"":""all gravity-supported structures consistent with the three silhouettes""}"
Basic Relational Reasoning,orthographic_0002.png,"Based on the three views shown, what is the minimum possible number of cubes in a gravity-supported 3D structure? Answer with a number in curly brackets.",9,"{""correct_answer_choice"":""C"",""difficulty_score"":0.9167,""has_candidate_panel"":true,""is_uniquely_determined"":false,""is_uniquely_determined_same_count"":false,""minimum_possible_cube_count"":9,""seed"":2,""total_cube_count"":12,""uniqueness_scope"":""all gravity-supported structures consistent with the three silhouettes""}"
Comparative Reasoning,orthographic_0002.png,"Which candidate structure (A, B, C, or D) is consistent with all three views shown? Answer with the letter.",C,"{""correct_answer_choice"":""C"",""difficulty_score"":0.9167,""has_candidate_panel"":true,""is_uniquely_determined"":false,""is_uniquely_determined_same_count"":false,""minimum_possible_cube_count"":9,""seed"":2,""total_cube_count"":12,""uniqueness_scope"":""all gravity-supported structures consistent with the three silhouettes""}"
Compound Reasoning,orthographic_0002.png,"Candidate A matches two of the three views but not the third. Which view does it fail to match: top, front, or side?",front,"{""correct_answer_choice"":""C"",""difficulty_score"":0.9167,""has_candidate_panel"":true,""is_uniquely_determined"":false,""is_uniquely_determined_same_count"":false,""minimum_possible_cube_count"":9,""seed"":2,""total_cube_count"":12,""uniqueness_scope"":""all gravity-supported structures consistent with the three silhouettes""}"
Extrapolative/Counterfactual Reasoning,orthographic_0002.png,"If one cube were added directly on top of a tallest column, which orthographic view or views would change?",front and side,"{""correct_answer_choice"":""C"",""difficulty_score"":0.9167,""has_candidate_panel"":true,""is_uniquely_determined"":false,""is_uniquely_determined_same_count"":false,""minimum_possible_cube_count"":9,""seed"":2,""total_cube_count"":12,""uniqueness_scope"":""all gravity-supported structures consistent with the three silhouettes""}"
Image Description,orthographic_0003.png,How many unit cells are filled in the top view?,8,"{""correct_answer_choice"":null,""difficulty_score"":0.6833,""has_candidate_panel"":false,""is_uniquely_determined"":false,""is_uniquely_determined_same_count"":false,""minimum_possible_cube_count"":11,""seed"":3,""total_cube_count"":12,""uniqueness_scope"":""all gravity-supported structures consistent with the three silhouettes""}"
