task,image,prompt,groundtruth,metadata
Image Description,coordinate_geometry_0001.png,What are the coordinates of point B?,"(-5, 7)","{""dataset_version"":""coordinate-geometry-2.0.0"",""difficulty_score"":0.3,""is_collinear_triple"":false,""num_points"":2,""seed"":1}"
Basic Relational Reasoning,coordinate_geometry_0001.png,"What is the distance between point A and point B, rounded to 2 decimal places?",7.07,"{""dataset_version"":""coordinate-geometry-2.0.0"",""difficulty_score"":0.3,""is_collinear_triple"":false,""num_points"":2,""seed"":1}"
Comparative Reasoning,coordinate_geometry_0001.png,Which two points are closest together? Answer with both labels.,A and B,"{""dataset_version"":""coordinate-geometry-2.0.0"",""difficulty_score"":0.3,""is_collinear_triple"":false,""num_points"":2,""seed"":1}"
Compound Reasoning,coordinate_geometry_0001.png,What is the sum of the x-coordinates of all points in this image?,-11,"{""dataset_version"":""coordinate-geometry-2.0.0"",""difficulty_score"":0.3,""is_collinear_triple"":false,""num_points"":2,""seed"":1}"
Extrapolative/Counterfactual Reasoning,coordinate_geometry_0001.png,"If point A moved 2 units right and 1 unit down, what would its new distance from point B be, rounded to two decimals?",8.06,"{""dataset_version"":""coordinate-geometry-2.0.0"",""difficulty_score"":0.3,""is_collinear_triple"":false,""num_points"":2,""seed"":1}"
Image Description,coordinate_geometry_0002.png,What are the coordinates of point A?,"(0, -2)","{""dataset_version"":""coordinate-geometry-2.0.0"",""difficulty_score"":0.62,""is_collinear_triple"":true,""num_points"":3,""seed"":2}"
Basic Relational Reasoning,coordinate_geometry_0002.png,"What is the distance between point A and point C, rounded to 2 decimal places?",8.94,"{""dataset_version"":""coordinate-geometry-2.0.0"",""difficulty_score"":0.62,""is_collinear_triple"":true,""num_points"":3,""seed"":2}"
Comparative Reasoning,coordinate_geometry_0002.png,Which two points are farthest together? Answer with both labels.,A and C,"{""dataset_version"":""coordinate-geometry-2.0.0"",""difficulty_score"":0.62,""is_collinear_triple"":true,""num_points"":3,""seed"":2}"
Compound Reasoning,coordinate_geometry_0002.png,What is the sum of the x-coordinates of all points in this image?,7,"{""dataset_version"":""coordinate-geometry-2.0.0"",""difficulty_score"":0.62,""is_collinear_triple"":true,""num_points"":3,""seed"":2}"
Extrapolative/Counterfactual Reasoning,coordinate_geometry_0002.png,"If point A moved 2 units right and 1 unit down, what would its new distance from point B be, rounded to two decimals?",7.07,"{""dataset_version"":""coordinate-geometry-2.0.0"",""difficulty_score"":0.62,""is_collinear_triple"":true,""num_points"":3,""seed"":2}"
Image Description,coordinate_geometry_0003.png,What are the coordinates of point D?,"(7, 4)","{""dataset_version"":""coordinate-geometry-2.0.0"",""difficulty_score"":0.74,""is_collinear_triple"":true,""num_points"":4,""seed"":3}"
Basic Relational Reasoning,coordinate_geometry_0003.png,"What is the distance between point B and point C, rounded to 2 decimal places?",2.83,"{""dataset_version"":""coordinate-geometry-2.0.0"",""difficulty_score"":0.74,""is_collinear_triple"":true,""num_points"":4,""seed"":3}"
Comparative Reasoning,coordinate_geometry_0003.png,Which two points are closest together? Answer with both labels.,B and C,"{""dataset_version"":""coordinate-geometry-2.0.0"",""difficulty_score"":0.74,""is_collinear_triple"":true,""num_points"":4,""seed"":3}"
Compound Reasoning,coordinate_geometry_0003.png,"Are points A, B, and C collinear (do they lie on one straight line)? Answer yes or no.",yes,"{""dataset_version"":""coordinate-geometry-2.0.0"",""difficulty_score"":0.74,""is_collinear_triple"":true,""num_points"":4,""seed"":3}"
