question_id,image,acceptance_set,targets,direct_overlap_degree,total_overlap_pairs,above_average_radius_count,circles_isolated_after_removal,three_plus_overlap_percent
overlap_circles_0001_open_q1,overlap_circles_0001.png,"[""direct_overlap_degree=2; total_overlap_pairs=4; above_average_radius_count=3; circles_isolated_after_removal=1; three_plus_overlap_percent=0""]","[""largest circle""]",2,4,3,1,0
overlap_circles_0002_open_q1,overlap_circles_0002.png,"[""direct_overlap_degree=3; total_overlap_pairs=6; above_average_radius_count=3; circles_isolated_after_removal=1; three_plus_overlap_percent=50""]","[""largest circle""]",3,6,3,1,50
overlap_circles_0003_open_q1,overlap_circles_0003.png,"[""direct_overlap_degree=3; total_overlap_pairs=9; above_average_radius_count=3; circles_isolated_after_removal=0; three_plus_overlap_percent=57""]","[""largest circle""]",3,9,3,0,57
overlap_circles_0004_open_q1,overlap_circles_0004.png,"[""direct_overlap_degree=3; total_overlap_pairs=6; above_average_radius_count=3; circles_isolated_after_removal=2; three_plus_overlap_percent=50""]","[""largest circle""]",3,6,3,2,50
overlap_circles_0005_open_q1,overlap_circles_0005.png,"[""direct_overlap_degree=7; total_overlap_pairs=23; above_average_radius_count=6; circles_isolated_after_removal=0; three_plus_overlap_percent=90""]","[""largest circle""]",7,23,6,0,90
overlap_circles_0006_open_q1,overlap_circles_0006.png,"[""direct_overlap_degree=4; total_overlap_pairs=18; above_average_radius_count=5; circles_isolated_after_removal=1; three_plus_overlap_percent=58""]","[""largest circle""]",4,18,5,1,58
overlap_circles_0007_open_q1,overlap_circles_0007.png,"[""direct_overlap_degree=5; total_overlap_pairs=20; above_average_radius_count=7; circles_isolated_after_removal=1; three_plus_overlap_percent=73""]","[""largest circle""]",5,20,7,1,73
overlap_circles_0008_open_q1,overlap_circles_0008.png,"[""direct_overlap_degree=5; total_overlap_pairs=22; above_average_radius_count=5; circles_isolated_after_removal=0; three_plus_overlap_percent=82""]","[""largest circle""]",5,22,5,0,82
overlap_circles_0009_open_q1,overlap_circles_0009.png,"[""direct_overlap_degree=5; total_overlap_pairs=21; above_average_radius_count=5; circles_isolated_after_removal=0; three_plus_overlap_percent=100""]","[""largest circle""]",5,21,5,0,100
overlap_circles_0010_open_q1,overlap_circles_0010.png,"[""direct_overlap_degree=7; total_overlap_pairs=27; above_average_radius_count=6; circles_isolated_after_removal=0; three_plus_overlap_percent=100""]","[""largest circle""]",7,27,6,0,100
overlap_circles_0011_open_q1,overlap_circles_0011.png,"[""direct_overlap_degree=2; total_overlap_pairs=22; above_average_radius_count=5; circles_isolated_after_removal=1; three_plus_overlap_percent=67""]","[""largest circle""]",2,22,5,1,67
