dataset,image_filename,difficulty_tercile,question_id,difficulty_level,question_text,groundtruth
route,route_puzzle_2123.png,low,route_puzzle_2123_q1,1,How many labeled endpoints (letters) are shown in this image?,5
route,route_puzzle_2123.png,low,route_puzzle_2123_q2,2,Count the one-colored routes that go from A to D. Answer with a number in curly brackets e.g. {1},1
route,route_puzzle_2123.png,low,route_puzzle_2123_q3,3,How many routes does letter E have in total (i.e. touching E)?,0
route,route_puzzle_2123.png,low,route_puzzle_2123_q4,4,"Is there any letter-pair with zero directly connecting routes? If yes, name one such pair; if no, answer 'none'.",BE
route,route_puzzle_2123.png,low,route_puzzle_2123_q5,5,"If one new route were added directly between E and B, what would the maximum endpoint degree become?",6
route,route_puzzle_2259.png,low,route_puzzle_2259_q1,1,How many distinct colored routes are visible in this image?,7
route,route_puzzle_2259.png,low,route_puzzle_2259_q2,2,Count the one-colored routes that go from E to F. Answer with a number in curly brackets e.g. {1},0
route,route_puzzle_2259.png,low,route_puzzle_2259_q3,3,Which letter has the most routes connected to it?,B
route,route_puzzle_2259.png,low,route_puzzle_2259_q4,4,List all letter-pairs that have exactly one connecting route between them.,"[""AD"",""BF"",""CD""]"
route,route_puzzle_2259.png,low,route_puzzle_2259_q5,5,"If one new route were added directly between E and C, what would the maximum endpoint degree become?",5
route,route_puzzle_2443.png,low,route_puzzle_2443_q1,1,How many distinct colored routes are visible in this image?,8
route,route_puzzle_2443.png,low,route_puzzle_2443_q2,2,Count the one-colored routes that go from B to C. Answer with a number in curly brackets e.g. {1},1
route,route_puzzle_2443.png,low,route_puzzle_2443_q3,3,Which two letters have the most routes directly connecting them?,AB
route,route_puzzle_2443.png,low,route_puzzle_2443_q4,4,"Is there any letter-pair with zero directly connecting routes? If yes, name one such pair; if no, answer 'none'.",CD
route,route_puzzle_2443.png,low,route_puzzle_2443_q5,5,"If one new route were added directly between C and D, what would the maximum endpoint degree become?",6
route,route_puzzle_2770.png,low,route_puzzle_2770_q1,1,How many distinct colored routes are visible in this image?,7
route,route_puzzle_2770.png,low,route_puzzle_2770_q2,2,Count the one-colored routes that go from A to D. Answer with a number in curly brackets e.g. {1},1
route,route_puzzle_2770.png,low,route_puzzle_2770_q3,3,How many routes does letter C have in total (i.e. touching C)?,6
route,route_puzzle_2770.png,low,route_puzzle_2770_q4,4,"Is there any letter-pair with zero directly connecting routes? If yes, name one such pair; if no, answer 'none'.",BD
route,route_puzzle_2770.png,low,route_puzzle_2770_q5,5,"If one new route were added directly between A and B, what would the maximum endpoint degree become?",6
route,route_puzzle_2887.png,low,route_puzzle_2887_q1,1,How many distinct colored routes are visible in this image?,8
route,route_puzzle_2887.png,low,route_puzzle_2887_q2,2,Count the one-colored routes that go from A to B. Answer with a number in curly brackets e.g. {1},1
route,route_puzzle_2887.png,low,route_puzzle_2887_q3,3,How many routes does letter C have in total (i.e. touching C)?,5
route,route_puzzle_2887.png,low,route_puzzle_2887_q4,4,"Among all letters, list them in order from most connected routes to least connected routes.","[""B (degree 5—tie)"",""C (degree 5—tie)"",""D (degree 4)"",""A (degree 2)""]"
route,route_puzzle_2887.png,low,route_puzzle_2887_q5,5,"If one new route were added directly between A and D, what would the maximum endpoint degree become?",5
route,route_puzzle_0550.png,medium,route_puzzle_0550_q1,1,How many distinct colored routes are visible in this image?,11
