question_id,image,acceptance_set,targets,target,target_coordinates,nearest_labels,nearest_distance,farthest_labels,farthest_distance
coordinate_geometry_0001_open_q1,coordinate_geometry_0001.png,"[""target=B; target_coordinates=[-5, 7]; nearest_labels=['A']; nearest_distance=7.07; farthest_labels=['A']; farthest_distance=7.07""]","[""B""]",B,"[-5,7]","[""A""]",7.07,"[""A""]",7.07
coordinate_geometry_0002_open_q1,coordinate_geometry_0002.png,"[""target=C; target_coordinates=[4, 6]; nearest_labels=['B']; nearest_distance=2.24; farthest_labels=['A']; farthest_distance=8.94""]","[""C""]",C,"[4,6]","[""B""]",2.24,"[""A""]",8.94
coordinate_geometry_0003_open_q1,coordinate_geometry_0003.png,"[""target=D; target_coordinates=[7, 4]; nearest_labels=['C']; nearest_distance=7.28; farthest_labels=['A']; farthest_distance=15.26""]","[""D""]",D,"[7,4]","[""C""]",7.28,"[""A""]",15.26
coordinate_geometry_0004_open_q1,coordinate_geometry_0004.png,"[""target=B; target_coordinates=[7, -4]; nearest_labels=['A']; nearest_distance=14.42; farthest_labels=['A']; farthest_distance=14.42""]","[""B""]",B,"[7,-4]","[""A""]",14.42,"[""A""]",14.42
coordinate_geometry_0005_open_q1,coordinate_geometry_0005.png,"[""target=B; target_coordinates=[-1, -2]; nearest_labels=['A']; nearest_distance=6.71; farthest_labels=['C']; farthest_distance=8.94""]","[""B""]",B,"[-1,-2]","[""A""]",6.71,"[""C""]",8.94
coordinate_geometry_0006_open_q1,coordinate_geometry_0006.png,"[""target=C; target_coordinates=[-2, 2]; nearest_labels=['B']; nearest_distance=3; farthest_labels=['D']; farthest_distance=9.06""]","[""C""]",C,"[-2,2]","[""B""]",3,"[""D""]",9.06
coordinate_geometry_0007_open_q1,coordinate_geometry_0007.png,"[""target=A; target_coordinates=[4, -7]; nearest_labels=['B']; nearest_distance=10.2; farthest_labels=['B']; farthest_distance=10.2""]","[""A""]",A,"[4,-7]","[""B""]",10.2,"[""B""]",10.2
coordinate_geometry_0008_open_q1,coordinate_geometry_0008.png,"[""target=B; target_coordinates=[-4, -1]; nearest_labels=['A']; nearest_distance=2.24; farthest_labels=['C']; farthest_distance=4.47""]","[""B""]",B,"[-4,-1]","[""A""]",2.24,"[""C""]",4.47
coordinate_geometry_0009_open_q1,coordinate_geometry_0009.png,"[""target=C; target_coordinates=[-2, 0]; nearest_labels=['B']; nearest_distance=4.47; farthest_labels=['D']; farthest_distance=11.66""]","[""C""]",C,"[-2,0]","[""B""]",4.47,"[""D""]",11.66
coordinate_geometry_0010_open_q1,coordinate_geometry_0010.png,"[""target=B; target_coordinates=[-8, -2]; nearest_labels=['A']; nearest_distance=15.81; farthest_labels=['A']; farthest_distance=15.81""]","[""B""]",B,"[-8,-2]","[""A""]",15.81,"[""A""]",15.81
coordinate_geometry_0011_open_q1,coordinate_geometry_0011.png,"[""target=B; target_coordinates=[1, 3]; nearest_labels=['A']; nearest_distance=4.47; farthest_labels=['C']; farthest_distance=8.94""]","[""B""]",B,"[1,3]","[""A""]",4.47,"[""C""]",8.94
coordinate_geometry_0012_open_q1,coordinate_geometry_0012.png,"[""target=B; target_coordinates=[-2, -3]; nearest_labels=['A']; nearest_distance=4.47; farthest_labels=['D']; farthest_distance=9.22""]","[""B""]",B,"[-2,-3]","[""A""]",4.47,"[""D""]",9.22
